ITTER107;Territorio;Value
52001;Abbadia San Salvatore;5997
47023;Abetone Cutigliano;1825
47002;Agliana;17934
46001;Altopascio;15784
51001;Anghiari;5384
53001;Arcidosso;4165
51002;Arezzo;96260
52002;Asciano;6781
45001;Aulla;10656
51003;Badia Tedalda;970
46002;Bagni di Lucca;5592
48001;Bagno a Ripoli;25156
45002;Bagnone;1676
48002;Barberino di Mugello;10920
48054;Barberino Tavarnelle;11901
46003;Barga;9415
51004;Bibbiena;11833
49001;Bibbona;3170
50001;Bientina;8602
46004;Borgo a Mozzano;6666
48004;Borgo San Lorenzo;18102
51005;Bucine;9929
47003;Buggiano;8678
52003;Buonconvento;2979
50002;Buti;5543
50003;Calci;6293
50004;Calcinaia;12738
48005;Calenzano;18084
46005;Camaiore;31842
53002;Campagnatico;2345
48006;Campi Bisenzio;47462
49002;Campiglia Marittima;12429
49003;Campo nell'Elba;4723
46006;Camporgiano;2009
100001;Cantagallo;3100
53003;Capalbio;3838
50005;Capannoli;6386
46007;Capannori;46253
49004;Capoliveri;3899
51006;Capolona;5209
48008;Capraia e Limite;7870
49005;Capraia Isola;370
51007;Caprese Michelangelo;1341
46008;Careggine;511
100002;Carmignano;14605
45003;Carrara;59905
50006;Casale Marittimo;1051
50040;Casciana Terme Lari;12120
50008;Cascina;44735
45004;Casola in Lunigiana;947
52004;Casole d'Elsa;3715
49006;Castagneto Carducci;8748
53004;Castel del Piano;4733
51008;Castel Focognano;2963
51010;Castel San NiccolO';2487
48010;Castelfiorentino;17220
50009;Castelfranco di Sotto;13541
51040;Castelfranco PiandiscO';9774
53005;Castell'Azzara;1307
52005;Castellina in Chianti;2651
50010;Castellina Marittima;1827
52006;Castelnuovo Berardenga;8924
46009;Castelnuovo di Garfagnana;5623
50011;Castelnuovo di Val di Cecina;2064
51011;Castiglion Fibocchi;2093
51012;Castiglion Fiorentino;12918
53006;Castiglione della Pescaia;7121
46010;Castiglione di Garfagnana;1705
52007;Castiglione d'Orcia;2144
51013;Cavriglia;9414
49007;Cecina;27882
48011;Cerreto Guidi;10678
48012;Certaldo;15515
52008;Cetona;2488
52009;Chianciano Terme;6907
50012;Chianni;1309
47022;Chiesina Uzzanese;4494
51014;Chitignano;852
52010;Chiusdino;1751
52011;Chiusi;8093
51015;Chiusi della Verna;1890
53007;Cinigiano;2384
51016;Civitella in Val di Chiana;8748
53008;Civitella Paganico;2900
52012;Colle di Val d'Elsa;21550
49008;Collesalvetti;16281
45005;Comano;667
46011;Coreglia Antelminelli;5069
51017;Cortona;21133
50041;Crespina Lorenzana;5460
48013;Dicomano;5454
48014;Empoli;48844
46036;Fabbriche di Vergemoli;716
50014;Fauglia;3649
48015;Fiesole;13659
48052;Figline e Incisa Valdarno;23051
45006;Filattiera;2185
48017;Firenze;360930
48018;Firenzuola;4394
45007;Fivizzano;7071
51018;Foiano della Chiana;9019
53009;Follonica;20399
46013;Forte dei Marmi;6861
46014;Fosciandora;561
45008;Fosdinovo;4574
48019;Fucecchio;22630
52013;Gaiole in Chianti;2522
46015;Gallicano;3593
48020;Gambassi Terme;4839
53010;Gavorrano;8229
48021;Greve in Chianti;13322
53011;Grosseto;81321
50015;Guardistallo;1155
48022;Impruneta;14379
53012;Isola del Giglio;1330
50016;Lajatico;1265
47005;Lamporecchio;7367
47006;Larciano;6301
48024;Lastra a Signa;19589
51042;Laterina Pergine Valdarno;6366
45009;Licciana Nardi;4709
49009;Livorno;152914
48025;Londa;1833
51020;Loro Ciuffenna;5869
46017;Lucca;88798
51021;Lucignano;3383
53013;Magliano in Toscana;3286
53014;Manciano;7052
49010;Marciana;2034
49011;Marciana Marina;1876
51022;Marciano della Chiana;3431
47007;Marliana;3237
48026;Marradi;2907
45010;Massa;66160
47008;Massa e Cozzile;7742
53015;Massa Marittima;8139
46018;Massarosa;21732
46019;Minucciano;1805
46020;Molazzana;992
47009;Monsummano Terme;20731
48027;Montaione;3492
52037;Montalcino;5611
47010;Montale;10519
53016;Monte Argentario;11888
51025;Monte San Savino;8550
46021;Montecarlo;4389
50019;Montecatini Val di Cecina;1681
47011;Montecatini-Terme;20690
48028;Montelupo Fiorentino;14187
51023;Montemignaio;517
100003;Montemurlo;19105
52015;Montepulciano;13274
51024;Monterchi;1694
52016;Monteriggioni;9991
52017;Monteroni d'Arbia;9039
53027;Monterotondo Marittimo;1283
50020;Montescudaio;2144
48030;Montespertoli;13250
51026;Montevarchi;24081
50021;Monteverdi Marittimo;766
52018;Monticiano;1555
53017;Montieri;1194
45011;Montignoso;10015
50022;Montopoli in Val d'Arno;11184
45012;Mulazzo;2284
52019;Murlo;2423
53018;Orbetello;14292
50023;Orciano Pisano;632
51027;Ortignano Raggiolo;836
50024;Palaia;4523
48031;Palazzuolo sul Senio;1111
50025;Peccioli;4662
48032;Pelago;7788
46022;Pescaglia;3285
47012;Pescia;19223
52020;Piancastagnaio;3871
46023;Piazza al Serchio;2101
52021;Pienza;1976
46024;Pietrasanta;22870
47013;Pieve a Nievole;9089
46025;Pieve Fosciana;2233
51030;Pieve Santo Stefano;2965
49012;Piombino;32194
50026;Pisa;88737
47014;Pistoia;89309
53019;Pitigliano;3586
45013;Podenzana;2094
52022;Poggibonsi;28209
100004;Poggio a Caiano;9863
50027;Pomarance;5299
50028;Ponsacco;15594
48033;Pontassieve;20198
47016;Ponte Buggianese;8717
50029;Pontedera;29393
45014;Pontremoli;6891
51031;Poppi;5823
46026;Porcari;8788
49013;Porto Azzurro;3628
49014;Portoferraio;11797
100005;Prato;195736
51041;Pratovecchio Stia;5437
47017;Quarrata;26684
52023;Radda in Chianti;1449
52024;Radicofani;1060
52025;Radicondoli;945
52026;Rapolano Terme;5072
48035;Reggello;16485
48036;Rignano sull'Arno;8504
49021;Rio;3342
50030;Riparbella;1588
53020;Roccalbegna;918
53021;Roccastrada;8747
49017;Rosignano Marittimo;30083
48037;Rufina;7100
47018;Sambuca Pistoiese;1439
52027;San Casciano dei Bagni;1500
48038;San Casciano in Val di Pesa;16456
52028;San Gimignano;7480
51033;San Giovanni Valdarno;16571
50031;San Giuliano Terme;30652
48039;San Godenzo;1049
47024;San Marcello Piteglio;7630
50032;San Miniato;27703
52030;San Quirico d'Orcia;2572
46027;San Romano in Garfagnana;1337
49018;San Vincenzo;6447
51034;Sansepolcro;15125
50033;Santa Croce sull'Arno;14702
53022;Santa Fiora;2490
50034;Santa Luce;1629
50035;Santa Maria a Monte;13326
52031;Sarteano;4467
49019;Sassetta;471
48041;Scandicci;49390
53023;Scansano;4310
53024;Scarlino;3746
48053;Scarperia e San Piero;12001
53025;Seggiano;970
53028;Semproniano;962
46028;Seravezza;12364
47020;Serravalle Pistoiese;11740
51035;Sestino;1201
48043;Sesto Fiorentino;48742
52032;Siena;52812
48044;Signa;18874
46037;Sillano Giuncugnano;991
52033;Sinalunga;12068
53026;Sorano;3038
52034;Sovicille;9853
46030;Stazzema;2856
51037;Subbiano;6281
49020;Suvereto;2955
51038;Talla;984
51039;Terranuova Bracciolini;11959
50036;Terricciola;4445
52035;Torrita di Siena;6963
52036;Trequanda;1166
45015;Tresana;1951
47021;Uzzano;5562
46031;Vagli Sotto;834
48046;Vaglia;5164
100006;Vaiano;9906
50037;Vecchiano;11825
100007;Vernio;6144
46033;Viareggio;60579
48049;Vicchio;8023
50038;Vicopisano;8563
46034;Villa Basilica;1474
46035;Villa Collemandina;1202
45016;Villafranca in Lunigiana;4550
48050;Vinci;14438
50039;Volterra;9537
45017;Zeri;939
